GDH,PDH
GDH,SIRT5
GDH,MAPK
GDH,SIRT7
GDH,?-ACTIN
GDH,PEROXIDASE
GDH,SIRT2
GDH,SIRT3
GDH,P53
GDH,SIRT1
GDH,GAPDH
GDH,SIRT6
GDH,SIRT4
GDH,GLUTAMATE DEHYDROGENASE
E-CADHERIN,TUMOR NECROSIS FACTOR
E-CADHERIN,SIRT4
E-CADHERIN,HISTONE H4
E-CADHERIN,SIRT6
E-CADHERIN,CYTOCHROME C
E-CADHERIN,IDH2
E-CADHERIN,BAX
E-CADHERIN,SIRT3
E-CADHERIN,HER2
E-CADHERIN,STAT3
E-CADHERIN,HCC
E-CADHERIN,SIRT1
E-CADHERIN,SIRT5
E-CADHERIN,SIRT2
E-CADHERIN,HDAC6
E-CADHERIN,PARP
E-CADHERIN,PEPCK
E-CADHERIN,UBIQUITIN
E-CADHERIN,ZEB1
E-CADHERIN,HIF-1?
E-CADHERIN,ADP-RIBOSYLTRANSFERASE
E-CADHERIN,SIR2
E-CADHERIN,SOD2
E-CADHERIN,?-CATENIN
E-CADHERIN,EMT
E-CADHERIN,KU70
E-CADHERIN,P53
E-CADHERIN,HIF-1
E-CADHERIN,SIRT7
BCL-2,SKP2
BCL-2,SIRT4
BCL-2,UBIQUITIN
BCL-2,BH3 INTERACTING DOMAIN DEATH AGONIST
BCL-2,BAX
BCL-2,TWIST1
BCL-2,S-PHASE KINASE ASSOCIATED PROTEIN 2
BCL-2,SIRT7
BCL-2,SILENT INFORMATION REGULATOR 2
BCL-2,SPOP
BCL-2,SIRT5
BCL-2,JMJD2A
BCL-2,SIR2
BCL-2,K-RAS
BCL-2,ERK
BCL-2,ERK1
BCL-2,NOTCH1
BCL-2,SIRT1
BCL-2,SIRT6
BCL-2,ZINC FINGER E-BOX BINDING HOMEOBOX 1
BCL-2,ADC
BCL-2,P27
BCL-2,?-CATENIN
BCL-2,TNF-?
BCL-2,NERVE GROWTH FACTOR
BCL-2,BCL2
BCL-2,SIRT2
BCL-2,BECLIN1
BCL-2,ZEB1
BCL-2,AIF
BCL-2,PHOSPHATASE AND TENSIN HOMOLOG
BCL-2,P21
BCL-2,MMP9
BCL-2,NRF2
BCL-2,TRANSCRIPTION FACTOR 1
BCL-2,PTEN
BCL-2,NMNAT2
BCL-2,ADP RIBOSYLTRANSFERASE
BCL-2,AKT
BCL-2,NICOTINAMIDE NUCLEOTIDE ADENYLYLTRANSFERASE 2
BCL-2,SIRT3
BCL-2,P53
BCL-2,RFS
BCL-2,DLL4
BCL-2,DEMETHYLASE
BCL-2,NOTCH
BCL-2,EGFR
ERK1,SIRT1
ERK1,SIRT6
ERK1,SIRT4
ERK1,INSULIN RECEPTOR
ERK1,AKT
ERK1,P53
ERK1,GSK3?
ERK1,CASPASE
ERK1,AMPK
ERK1,ERK
ERK1,FOXO1
ERK1,PHOSPHATASE
ERK1,SIRT3
ERK1,SIRT2
STRUCTURAL PROTEINS,IL-6
STRUCTURAL PROTEINS,IL-1?
STRUCTURAL PROTEINS,P65
STRUCTURAL PROTEINS,HISTONE H4
STRUCTURAL PROTEINS,SIR2
STRUCTURAL PROTEINS,SIRT3
STRUCTURAL PROTEINS,P53
STRUCTURAL PROTEINS,SIRT5
STRUCTURAL PROTEINS,TOLL-LIKE RECEPTOR 4
STRUCTURAL PROTEINS,SIRT1
STRUCTURAL PROTEINS,TRANSCRIPTIONAL REGULATORS
STRUCTURAL PROTEINS,SIRT7
STRUCTURAL PROTEINS,LPS
STRUCTURAL PROTEINS,SIRT4
STRUCTURAL PROTEINS,CATALASE
STRUCTURAL PROTEINS,TLR4
STRUCTURAL PROTEINS,SIRT2
STRUCTURAL PROTEINS,TNF-?
STRUCTURAL PROTEINS,SIRT6
STRUCTURAL PROTEINS,TLR
STRUCTURAL PROTEINS,SILENT INFORMATION REGULATOR 2
STRUCTURAL PROTEINS,FOXO1
STRUCTURAL PROTEINS,TUMOR NECROSIS FACTOR
STRUCTURAL PROTEINS,HDAC1
STRUCTURAL PROTEINS,PROTEIN 3
SURFACE PROTEINS,SIRT1
SURFACE PROTEINS,SIR2
SURFACE PROTEINS,GDH
SURFACE PROTEINS,GLUTAMATE DEHYDROGENASE
P16,TARGET OF RAPAMYCIN
P16,IIS
P16,IGF-1
P16,NAMPT
P16,PARP
P16,KU70
P16,HISTONES H3
P16,TRANSCRIPTIONAL REGULATORS
P16,GST
P16,DAF-2
P16,?-GALACTOSIDASE
P16,NICOTINAMIDE N-METHYLTRANSFERASE
P16,AMPK
P16,SIRT1
P16,SIRT6
P16,SIR2
P16,IGF1
P16,SIRT2
P16,PGC1?
P16,P53
P16,SIRT3
P16,SIRT7
P16,DNMT1
P16,ANGIOTENSIN
P16,FOXO
P16,SIRT5
P16,REVERSE TRANSCRIPTASE
P16,P21
P16,FOXO3
P16,CD38
P16,FOXO4
P16,LKB1
P16,NNMT
P16,SIRT4
P16,ATM
P16,DAF
P16,?-GAL
P16,DAF-16
P16,NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE
CYTOCHROME C,AMPK
CYTOCHROME C,SIRT5
CYTOCHROME C,HIF1?
CYTOCHROME C,COMPLEX I
CYTOCHROME C,SIRT7
CYTOCHROME C,IGF
CYTOCHROME C,NADH
CYTOCHROME C,FOXO
CYTOCHROME C,SIRT2
CYTOCHROME C,P53
CYTOCHROME C,SIRT3
CYTOCHROME C,SIRT1
CYTOCHROME C,SIRT6
CYTOCHROME C,SIRT4
CYTOCHROME C,AKT
CYTOCHROME C,ACETYLTRANSFERASES
CYTOCHROME C,MNSOD
SIRT3,SIRT7
SIRT3,SIRT2
SIRT3,SIRT4
SIRT3,SIRT6
SIRT3,SIRT5
SIRT3,SIRT1
SIRT3,SILENT INFORMATION REGULATOR 2
SIRT3,SIR2
PROTEASE INHIBITORS,SIRT6
PROTEASE INHIBITORS,BL21
PROTEASE INHIBITORS,DNASE
PROTEASE INHIBITORS,SIRT2
PROTEASE INHIBITORS,HDAC3
PROTEASE INHIBITORS,SIRT4
PROTEASE INHIBITORS,P-40
PROTEASE INHIBITORS,SIRT7
PROTEASE INHIBITORS,HISTONE H3
PROTEASE INHIBITORS,SIRT1
PROTEASE INHIBITORS,SIRT5
PROTEASE INHIBITORS,SIRT3
PROTEASE INHIBITORS,GST
PROTEASE INHIBITORS,TRYPSIN
PROTEASE INHIBITORS,TRI
PROTEASE INHIBITORS,ACETYLTRANSFERASES
PROTEASE INHIBITORS,DNASE I
PROTEASE INHIBITORS,HDAC1
PROTEASE INHIBITORS,GCN5
PIS,?-TUBULIN
PIS,SILENT INFORMATION REGULATOR 2
PIS,HISTONES H2A
PIS,BL21
PIS,SIRT1
